2018/1/13,站起来的宝宝，感知更广阔的世界,站起来的感觉，真好,"你的宝宝现在是真正意义上的“直立人”啦。即使还没有学会走路，他也习惯了身体站立的感觉。

站起来跟趴着很不一样呢，宝宝视野更开阔，抬头、低头、环顾四周，能看到好多新鲜的东西！

他可能开始蹒跚学步，说不定已经能独自走上一段路了。胳膊和手的动作也越来越流畅，这些动作上的发展，让宝宝有机会探索更广阔的世界。  

![](http://pics.ibrainbaby.cn/sense.002.jpg 
)"
2018/1/13,站起来的宝宝，感知更广阔的世界,全身心探索世界,"你回想一下，宝宝依靠什么探索世界呢？你常常看到宝宝把东西往嘴里放，是不是？他用嘴巴尝味道，也用嘴巴感受物体的质感，是软是硬，是光滑是粗糙，小嘴一尝就知道。


除了用嘴巴尝，宝宝还用小手摸，用小脚踩，用眼睛看，用耳朵听，用鼻子闻，用嘴巴尝，他在全身心地体味着周围的一切。所有的感官，都是宝宝接收外部信号的武器。大脑解析这些信号，再发出更多指令。

![](http://pics.ibrainbaby.cn/sense.003.jpg 
)  

**在各种动作和感知觉的支持下，宝宝的思维得到发展。**这一阶段宝宝的认知发展又被称为「感觉运动阶段」。"
2018/1/13,站起来的宝宝，感知更广阔的世界,把东西放嘴里就是吃？,"比如说，宝宝总有些举动，让你想哭又想笑。

你发现宝宝在地上捡了一个东西，是橡皮。他以闪电般的速度，把橡皮放进了嘴里。你眼睁睁地看着，根本来不及阻止。

你正着急的时候，宝宝嚼一嚼橡皮，吐出来，再捡起来看看，搁到一边，摇摇晃晃地走开。 

在这个过程中，**宝宝都经历了什么？他是怎么想的？**"
2018/1/13,站起来的宝宝，感知更广阔的世界,品尝东西可不简单,"别看这不到一分钟的功夫，宝宝的大脑处理好多信息，动用了各种能力呢。

* 视觉 —— 看到地上有一个小方块，白色的。哎，这是什么？
* 动作 —— 走，去看看。伸胳膊，用手把小方块抓起来。  
* 触觉 —— 捏一捏，这小方块不扎手，光滑，还有点儿弹。咬一咬，哇，能咬动，是软的。 
* 听觉 —— 嚼的时候，没听到“嘎崩嘎崩”的声音，不脆。
* 味觉与嗅觉 —— 没味儿，不甜    
* 判断：这玩意儿不好吃，找别的东西玩去。
* 关联：跟棉花糖样子有点儿像，味道可差远了。"
2018/1/13,站起来的宝宝，感知更广阔的世界,感官信息支持宝宝的所有学习,"宝宝动用各种感官收集信息，再进行判断、比较、关联等处理。他也会把信息存下来，也就是记忆。

![](http://pics.ibrainbaby.cn/sense.004.jpg 
)

**感官信息支持宝宝的所有学习。 **

帮助宝宝认识事物的特性。
帮助宝宝判断自己的喜好。
帮助宝宝理解他人。"
2018/1/13,站起来的宝宝，感知更广阔的世界,跟宝宝一起“疯”吧,"你可以做些什么，帮助宝宝获得更丰富的感官体验呢？   
可以给宝宝有丰富刺激的环境呀，给宝宝自由地“瞎霍霍”的机会呀，帮助宝宝给他的体验准确命名呀。

还可以有各种亲子感官游戏，你陪宝宝一起“疯”。
穿越时光，回到年幼时，**用全身心感受世界**，跟宝宝学习吧。

![](http://pics.ibrainbaby.cn/sense.005.jpg 
)"
,,,
2018/1/14,魔法纸箱：激活触觉的力量,宝宝获得：碰触多种材质，丰富认知体验,"让你家宝宝的小手和身体碰触不同质感和肌理的物品，加强他的触觉感知力，丰富宝宝的认知体验。  

哇，这个世界上的东西，有软的，有硬的，有粗糙的，有平滑的，好神奇！

![](http://pics.ibrainbaby.cn/sense.006.jpg)"
2018/1/14,魔法纸箱：激活触觉的力量,你需要准备,"纸箱、胶带、剪刀、洋娃娃、球、积木，或者其他常用玩具

![](http://pics.ibrainbaby.cn/sense.007.jpg)"
2018/1/14,魔法纸箱：激活触觉的力量,步骤1:改造魔法纸箱,"准备材料。在纸箱上挖一个直径大约 20厘米的开口，用来取放玩具。然后用胶带把纸箱封好，还可以自由发挥，装饰得更漂亮哦！  

![](http://pics.ibrainbaby.cn/sense.008.jpg)"
